Site,male,female,male-to-female,A/PI,Black,Hispanic,Multiracial,White,A/PI to White,Black to White,Hispanic to White,Multiracial to White
Arizona,48.3 (41.6–56.0),13.7 (10.2–18.2),3.5 (2.6–4.9)**,27.1 (15.2–47.9),—††,32.2 (25.6–40.5),—††,33.4 (27.6–40.5),0.8 (0.4–1.5),—††,1.0 (0.7–1.3),—††
Arkansas,48.1 (43.5–53.0),10.8 (8.7–13.4),4.4 (3.5–5.6)**,51.2 (28.8–89.3),29.9 (24.8–35.9),28.9 (21.5–38.8),24.7 (15.7–38.7),29.5 (26.2–33.1),1.7 (1.0–3.1)**,1.0 (0.8–1.3),1.0 (0.7–1.4),0.8 (0.5–1.3)
California,80.1 (74.4–86.3),23.1 (19.9–26.8),3.5 (2.9–4.1)**,56.8 (47.1–68.4),65.4 (51.7–82.4),54.1 (49.3–59.4),67.2 (53.8–83.7),41.4 (35.4–48.4),1.4 (1.1–1.8)**,1.6 (1.2–2.1)**,1.3 (1.1–1.6)**,1.6 (1.2–2.1)**
Georgia,51.1 (47.9–54.4),13.7 (12.1–15.5),3.7 (3.2–4.3)**,35.6 (29.8–42.4),39.1 (36.1–42.3),27.7 (23.9–32.0),26.1 (19.1–35.4),24.0 (21.0–27.4),1.5 (1.2–1.8)**,1.6 (1.4–1.9)**,1.2 (0.9–1.4),1.1 (0.8–1.5)
Indiana,27.5 (23.8–31.7),8.7 (6.7–11.3),3.2 (2.3–4.2)**,37.7 (26.4–53.6),15.5 (12.2–19.5),19.4 (14.5–25.9),—††,18.2 (14.8–22.4),2.1 (1.4–3.1)**,0.9 (0.6–1.2),1.1 (0.7–1.5),—††
Maryland,41.3 (37.7–45.2),10.7 (8.9–12.9),3.9 (3.1–4.7)**,31.3 (24.5–40.0),36.8 (32.0–42.3),28.6 (22.4–36.4),29.5 (21.3–40.8),19.3 (16.9–22.1),1.6 (1.2–2.1)**,1.9 (1.6–2.3)**,1.5 (1.1–2.0)**,1.5 (1.1–2.2)**
Minnesota,53.6 (49.1–58.5),17.4 (14.9–20.4),3.1 (2.6–3.7)**,32.6 (26.2–40.5),41.1 (35.5–47.4),40.9 (32.8–50.8),46.0 (35.3–59.8),29.6 (26.0–33.6),1.1 (0.9–1.4),1.4 (1.1–1.7)**,1.4 (1.1–1.8)**,1.6 (1.2–2.1)**
Missouri,47.8 (43.8–52.1),15.7 (13.4–18.3),3.1 (2.5–3.7)**,55.1 (41.4–72.9),35.2 (30.6–40.4),26.3 (18.1– 38.0),24.9 (16.9–36.5),29.1 (26.2–32.3),1.9 (1.4–2.6)**,1.2 (1.0–1.4)**,0.9 (0.6–1.3),0.9 (0.6–1.3)
New Jersey,52.9 (48.5–57.6),14.3 (12.0–16.9),3.7 (3.1–4.5)**,26.4 (18.9–36.9),34.8 (30.2–40.1),40.7 (36.1–45.8),36.3 (23.1–56.6),23.5 (19.6–28.2),1.1 (0.8–1.6),1.5 (1.2–1.9)**,1.7 (1.4–2.1)**,1.5 (0.9–2.5)
Pennsylvania,72.4 (64.4–81.3),21.6 (17.3–27.0),3.4 (2.6–4.3)**,44.9 (30.4–66.0),57.5 (48.0–68.9),48.1 (32.5–70.6),52.9 (34.5–80.3),41.0 (35.1–47.9),1.1 (0.7–1.7),1.4 (1.1–1.8)**,1.2 (0.8–1.8),1.3 (0.8–2.0)
Puerto Rico,39.8 (35.9–44.1),12.5 (10.4–15.1),3.2 (2.6–3.9)**,—§§,—§§,26.3 (24.0–28.8),—§§,—§§,—§§,—§§,—§§,—§§
Tennessee,51.6 (48.0–55.5),15.3 (13.3–17.6),3.4 (2.9–3.9)**,51.0 (38.2–67.8),38.5 (33.3–44.6),41.1 (35.1–48.1),29.1 (21.5–39.3),29.4 (26.9–32.1),1.7 (1.3–2.3)**,1.3 (1.1–1.6)**,1.4 (1.2–1.7)**,1.0 (0.7–1.4)
Texas (Austin),28.5 (22.4–36.2),9.6 (6.2–14.8),3.0 (1.8–4.9)**,—††,—††,21.8 (17.4–27.5),—††,—††,—††,—††,—††,—††
Texas (Laredo),15.9 (11.7–21.6),3.0 (1.4–6.2),5.3 (2.4–11.8)**,—††,—††,10.0 (7.5–13.3),—††,—††,—††,—††,—††,—††
Utah,39.9 (36.6–43.5),12.3 (10.5–14.5),3.2 (2.7–3.9)**,27.4 (19.3–38.6),45.7 (29.4–70.2),28.5 (24.3–33.4),12.4 (7.4–20.7),25.4 (23.1–28.0),1.1 (0.8–1.5),1.8 (1.1–2.8)**,1.1 (0.9–1.4),0.5 (0.3–0.8)**
Wisconsin,57.5 (53.9–61.5),17.9 (15.8–20.3),3.2 (2.8–3.7)**,39.0 (30.6–49.4),39.7 (34.5–45.6),57.7 (51.4–64.8),35.3 (26.8–46.2),30.9 (28.3–33.7),1.3 (1.0–1.6)**,1.3 (1.1–1.5)**,1.9 (1.6–2.2)**,1.1 (0.9–1.5)
Total,49.2 (48.1–50.3),14.3 (13.7–15.0),3.4 (3.3–3.6)**,38.2 (35.4–41.2),36.6 (35.1–38.1),33.0 (31.7–34.4),31.9 (29.0–35.1),27.7 (26.8–28.7),1.4 (1.3–1.5)**,1.3 (1.3–1.4)**,1.2 (1.1–1.3)**,1.2 (1.0–1.3)**
